NAMA KK,NIK,DOMISILI,PROVINSI,TANGGAL LAHIR,USIA,PEKERJAAN, PENDAPATAN ,JUMLAH ANGGOTA KEL,JML IBU HAMIL,JML BALITA,JML LANSIA,JML ANAK PUTUS SEKOLA,JML ANGGOTA DISABILITAS,KSE,KATEGORI
Almira Usada,3200303558298140,Samarinda,Kalimantan Timur,10/1/1967,57,Tidak Bekerja, Rp-   ,6,1,0,2,2,0,3,Tidak menerima bansos
Kamidin Santoso,3200998660189640,Jayapura,Papua,4/22/1955,70,Tidak Bekerja, Rp-   ,5,1,1,0,1,2,3,Tidak menerima bansos
Diana Fujiati,3200273937623640,Surabaya,Jawa Timur,5/7/1960,65,Karyawan," Rp1,500,000 ",7,1,0,1,2,2,3,Tidak menerima bansos
Alim Wastuti,3200233340576450,Jayapura,Papua,9/10/1995,29,Buru," Rp500,000 ",7,0,1,2,1,2,4,menerima bansos
Jagaraga Akim,3200220886128000,Banjarmasin,Kalimantan Selatan,4/9/1987,38,Tidak Bekerja, Rp-   ,4,1,2,1,0,0,1,Tidak menerima bansos
Raayu Sudiati,3200826472129180,Palu,Sulawesi Tengah,12/6/1988,36,Tidak Bekerja, Rp-   ,7,0,2,2,0,2,4,menerima bansos
Joko Utasoit.,3200791497850680,Sorong,Papua Barat,11/16/1955,69,Karyawan," Rp1,000,000 ",7,1,3,2,1,0,4,menerima bansos
Sutan Mursinin Nasiruddin,3200483783292160,Makassar,Sulawesi Selatan,12/13/1956,68,Buru," Rp2,000,000 ",8,1,2,1,2,2,4,menerima bansos
Cayono Widiastuti,3200654890933150,Semarang,Jawa Tengah,8/16/1973,51,Wiraswasta," Rp1,800,000 ",6,1,1,0,2,2,3,Tidak menerima bansos
Salima Abibi,3200277748463010,Balikpapan,Kalimantan Timur,2/14/1976,49,Buru," Rp1,200,000 ",5,1,1,0,2,1,3,Tidak menerima bansos
Karta Laksmiwati,3200989314347650,Makassar,Sulawesi Selatan,1/18/1985,40,Wiraswasta," Rp500,000 ",9,0,3,2,2,2,5,menerima bansos
Eka Utama,3200773499939070,Jayapura,Papua,1/16/1962,63,Buru," Rp1,000,000 ",7,0,3,2,0,1,4,menerima bansos
Adika Prakasa,3200126425329790,Lampung,Lampung,11/17/1997,27,Petani," Rp2,000,000 ",4,0,2,0,1,1,3,Tidak menerima bansos
Vivi Usada,3200358677625870,Manado,Sulawesi Utara,3/2/1967,58,Tidak Bekerja, Rp-   ,8,1,3,1,0,2,3,Tidak menerima bansos
Zizi Januar,3200987758913050,Bpp,Kalimantan Timur,3/2/1987,38,Buru," Rp1,500,000 ",6,1,1,1,1,1,3,Tidak menerima bansos
Sutan Jono Nasyia,3200147669546720,Bengkulu,Kalimantan Timur,4/1/1967,58,Tidak Bekerja, Rp-   ,3,1,0,0,1,0,1,Tidak menerima bansos
Tomi Januar,3200965742583570,Pekanbaru,Riau,6/21/1999,26,Petani," Rp2,000,000 ",4,0,0,1,1,1,2,Tidak menerima bansos
Edi Purwanti,3200418615444540,Makassar,Sulawesi Selatan,5/3/1967,58,Petani," Rp1,500,000 ",9,1,3,1,2,1,4,menerima bansos
Patricia Mangunsong,3200927307577890,Bogor,Kalimantan Timur,4/3/1964,61,Karyawan," Rp3,000,000 ",3,0,0,1,1,0,1,Tidak menerima bansos
Galur Andriani,3200220794956860,Kendari,Sulawesi Tenggara,8/10/1987,37,Buruh," Rp500,000 ",4,1,1,0,1,0,1,Tidak menerima bansos
Farunnisa Utasoit,3200064991687220,Padang,Sumatera Barat,9/9/1981,43,Buru," Rp1,000,000 ",5,0,3,1,1,0,3,Tidak menerima bansos
Sutan Daliono Prakasa,3200148386048330,Padang,Sumatera Barat,11/8/1967,57,Petani," Rp1,000,000 ",3,1,1,0,0,1,1,Tidak menerima bansos
Nurul Palastri,3200501478120300,Depok,Jawa Barat,5/12/1976,49,Tidak Bekerja, Rp-   ,8,1,1,2,1,2,4,menerima bansos
Sari Suryatmi,3200844884435240,Bengkulu,Kalimantan Timur,12/18/1987,37,Petani," Rp500,000 ",4,0,1,1,1,1,2,Tidak menerima bansos
Paulin Budiman,3200325110949600,Malang,Jawa Timur,9/11/1988,36,Petani," Rp1,000,000 ",7,0,2,2,2,1,5,menerima bansos
Ika Budiman,3200167713774410,Sorong,Papua Barat,1/13/1967,58,Karyawan," Rp1,500,000 ",5,0,3,2,0,0,3,Tidak menerima bansos
Tedi Mandasari,3200602560437790,Bekasi,Kalimantan Timur,4/16/1987,38,Petani," Rp500,000 ",4,1,0,2,0,1,2,Tidak menerima bansos
Rangga Yulianti,3200996098707740,Yogyakarta,DI Yogyakarta,8/25/1978,46,Petani," Rp2,000,000 ",7,0,2,2,2,0,4,menerima bansos
Paiman Uwais,3200771342440310,Palangka Ry,Kalimantan Tengah,4/18/1973,52,Karyawan," Rp1,500,000 ",3,0,1,0,0,2,1,Tidak menerima bansos
Laswi Lestari,3200574473837020,Padang,Sumatera Barat,2/28/1957,68,Tidak Bekerja, Rp-   ,7,1,0,1,2,2,3,Tidak menerima bansos
Wardaya Siotang.,3200462541657430,Surabaya,Jawa Timur,2/13/1955,70,Karyawan," Rp1,000,000 ",9,0,3,1,2,2,4,menerima bansos
Tgkwani Mardiya,3200284792992140,Banjarmasin,Kalimantan Selatan,6/4/1955,70,Wiraswasta," Rp1,000,000 ",2,0,2,0,0,0,1,Tidak menerima bansos
Raisa Raayu,3200046581914650,Bengkulu,Kalimantan Timur,2/3/1963,62,Petani," Rp1,500,000 ",5,0,2,0,2,0,3,Tidak menerima bansos
Kiandra Ardianto,3200621286919670,Jambi,Jambi,4/28/1974,51,Karyawan," Rp1,500,000 ",4,1,1,0,1,1,2,Tidak menerima bansos
Ardi Sitompul,3200769349338380,Makassar,Sulawesi Selatan,3/3/1976,49,Petani," Rp2,000,000 ",6,0,1,0,2,2,3,Tidak menerima bansos
Gabriella Ramawati,3200972010336970,Manado,Sulawesi Utara,1/25/1999,26,Petani," Rp210,000 ",4,0,0,1,0,2,1,Tidak menerima bansos
Restu Adriansya,3200049320127450,Sorong,Papua Barat,10/5/1963,61,Buru," Rp1,000,000 ",8,0,2,2,2,1,5,menerima bansos
Puji Nasiruddin,3200425506790390,Palembang,Sumatera Selatan,10/1/1991,33,Tidak Bekerja, Rp-   ,4,1,2,0,1,0,2,Tidak menerima bansos
Sutan Jayadi Irawan,3200180414171600,Sorong,Papua Barat,8/30/1967,57,Wiraswasta," Rp500,000 ",6,0,2,2,0,2,4,menerima bansos
Cintia Lazuardi,3200739812166610,Samarinda,Kalimantan Timur,5/4/1988,37,Karyawan," Rp500,000 ",1,0,0,0,0,0,0,Tidak menerima bansos
Rama Firgantoro,3200025210698250,Makassar,Sulawesi Selatan,2/28/1987,38,Wiraswasta," Rp1,000,000 ",4,0,3,0,0,1,2,Tidak menerima bansos
Paris Samosir,3200993498459410,Palu,Sulawesi Tengah,12/5/1995,29,Karyawan," Rp1,500,000 ",7,1,3,2,0,0,3,Tidak menerima bansos
Ani Pertiwi,3200814482874190,Manokwari,Papua Barat,3/15/1985,40,Tidak Bekerja, Rp-   ,6,0,3,2,1,0,4,menerima bansos
Agnes Zulkarnain,3200220648151380,Padang,Sumatera Barat,10/7/1955,69,Karyawan," Rp500,000 ",8,1,1,2,1,2,4,menerima bansos
Jessica Siombing,3200442114417620,Semarang,Jawa Tengah,7/22/1974,50,Karyawan," Rp2,000,000 ",7,1,3,0,2,1,4,menerima bansos
Safina Uyaina,3200462073016340,Semarang,Jawa Tengah,9/7/1993,31,Wiraswasta," Rp500,000 ",4,0,2,0,2,0,2,Tidak menerima bansos
Arjaya Mandala,3200405825764770,Semarang,Jawa Tengah,2/18/2000,25,Wiraswasta," Rp2,000,000 ",6,0,3,2,1,0,4,menerima bansos
Puti Melinda Oktaviani,3200781267445380,Semarang,Jawa Tengah,7/20/1957,67,Buru," Rp2,000,000 ",6,0,3,0,1,1,4,menerima bansos
Dian Pranowo,3200435605629370,Depok,Jawa Barat,10/13/1964,60,Petani," Rp500,000 ",7,0,3,0,2,1,4,menerima bansos
Karima Purnawati,3200517137581240,Manokwari,Papua Barat,3/2/1993,32,Wiraswasta," Rp2,000,000 ",6,1,0,1,1,2,3,Tidak menerima bansos
Maida Uwais,3200638513342870,Manado,Sulawesi Utara,9/11/1996,28,Buruh," Rp1,500,000 ",8,0,2,2,2,2,5,menerima bansos
Kartika Mangunsong,3200380621384070,Gorontalo,Gorontalo,5/24/1967,58,Tidak Bekerja, Rp-   ,4,1,1,1,0,1,1,Tidak menerima bansos
Rusman Artati,3200045739186320,Surabaya,Jawa Timur,12/28/1972,52,Buru," Rp1,500,000 ",4,1,2,0,0,0,1,Tidak menerima bansos
Adiarja Ardiansya,3200955515050410,Malang,Jawa Timur,12/30/1995,29,Buru," Rp1,500,000 ",7,0,3,1,2,0,3,Tidak menerima bansos
Jamil Namaga,3200875501079860,Semarang,Jawa Tengah,4/29/1975,50,Tidak Bekerja, Rp-   ,4,0,1,1,1,1,2,Tidak menerima bansos
Rina Utama,3200199651276750,Malang,Jawa Timur,1/27/1984,41,Buru," Rp329,000 ",8,1,2,1,2,1,4,menerima bansos
Gina Jailani.,3200207021779520,Palembang,Sumatera Selatan,11/1/1960,64,Buruh," Rp1,000,000 ",9,1,3,1,2,1,4,menerima bansos
Farunnisa Siotang,3200744952960150,Padang,Sumatera Barat,5/7/1956,69,Buruh," Rp1,000,000 ",1,0,0,0,0,1,1,Tidak menerima bansos
Jane Idayanto,3200297733053530,Bogor,Kalimantan Timur,7/1/1973,52,Wiraswasta," Rp500,000 ",4,1,0,1,0,1,1,Tidak menerima bansos
Samia Pertiwi,3200551109884620,Samarinda,Kalimantan Timur,7/12/1993,31,Buruh," Rp2,000,000 ",5,1,0,1,0,2,2,Tidak menerima bansos
Ani Alim,3200018994849230,Manado,Sulawesi Utara,5/30/1988,37,Petani," Rp1,500,000 ",5,1,1,1,2,0,2,Tidak menerima bansos
Balijan Manullang,3200282223047660,Manado,Sulawesi Utara,9/7/1985,39,Wiraswasta," Rp1,000,000 ",6,1,1,1,2,0,2,Tidak menerima bansos
Embu Aryanto,3200103222695400,Pekanbaru,Riau,12/9/1963,61,Petani," Rp1,500,000 ",4,0,0,2,2,0,2,Tidak menerima bansos
Wirda Siregar,3200944988466940,Balikpapan,Kalimantan Timur,7/13/1959,65,Karyawan," Rp2,000,000 ",6,0,1,2,2,1,4,menerima bansos
Sabrina Narpati,3200308188413290,Merauke,Papua Selatan,9/20/1971,53,Buruh," Rp1,500,000 ",7,0,3,0,2,2,4,menerima bansos
Yono Utasoit,3200724061552400,Jambi,Jambi,9/7/1981,43,Petani," Rp500,000 ",5,1,1,1,2,0,2,Tidak menerima bansos
Ika Setiawan,3200652406806430,Gorontalo,Gorontalo,1/27/1970,55,Karyawan," Rp2,300,000 ",8,0,3,0,2,2,4,menerima bansos
Simon Wacana,3200219141897900,Lampung,Lampung,2/9/1997,28,Petani," Rp3,200,000 ",8,0,3,1,1,2,5,menerima bansos
Ira Winarno,3200232584334420,Depok,Jawa Barat,11/22/1998,26,Wiraswasta," Rp500,000 ",10,1,2,2,2,2,5,menerima bansos
Mutia Laksita,3200820302144670,Jambi,Jambi,5/25/1989,36,Wiraswasta," Rp4,000,000 ",5,1,1,0,2,0,3,Tidak menerima bansos
Kcakrawala Fujiati,3200152307066470,Surabaya,Jawa Timur,2/24/1995,30,Tidak Bekerja, Rp-   ,6,1,2,1,1,0,3,Tidak menerima bansos
Mitra Assana,3200330342271580,Pekanbaru,Riau,7/2/1996,29,Tidak Bekerja, Rp-   ,5,1,1,0,2,0,2,Tidak menerima bansos
Asna Maryati,3200693578304360,Semarang,Jawa Tengah,7/29/1959,65,Petani," Rp500,000 ",7,0,3,0,2,1,4,menerima bansos
Azalea Kusumo,3200869559055860,Jayapura,Papua,5/11/1986,39,Tidak Bekerja, Rp-   ,4,1,0,1,1,1,2,Tidak menerima bansos
Artawan Latupono,3200960591723620,Bogor,Kalimantan Timur,4/7/1991,34,Buruh," Rp1,000,000 ",4,0,2,0,1,0,2,Tidak menerima bansos
Pangeran Lazuardi,3200197054120870,Makassar,Sulawesi Selatan,12/2/1990,34,Tidak Bekerja, Rp-   ,7,0,2,1,1,2,4,menerima bansos
Puti Suryono,3200704389527620,Malang,Jawa Timur,10/14/1984,40,Buruh," Rp1,500,000 ",5,0,3,0,0,2,3,Tidak menerima bansos
Nrima Nurdiyanti,3200099853946180,Sorong,Papua Barat,10/8/1992,32,Wiraswasta," Rp2,000,000 ",1,1,0,0,0,0,0,Tidak menerima bansos
Vera Nurdiyanti,3200029823600090,Balikpapan,Kalimantan Timur,9/8/1981,43,Tidak Bekerja, Rp-   ,7,1,3,0,2,1,4,menerima bansos
Mala Maendra,3200290322968000,Semarang,Jawa Tengah,8/28/1957,67,Buruh," Rp1,500,000 ",8,1,3,2,1,1,5,menerima bansos
Ika Fujiati,3200040148108530,Kendari,Sulawesi Tenggara,2/10/1977,48,Wiraswasta," Rp1,000,000 ",7,1,0,2,2,2,4,menerima bansos
Cindy Susanti,3200102277121570,Merauke,Papua Selatan,12/23/1979,45,Wiraswasta," Rp1,000,000 ",6,0,2,0,1,2,4,menerima bansos
Tania Rajasa,3200765129286810,Pekanbaru,Riau,3/13/1993,32,Tidak Bekerja, Rp-   ,4,0,0,2,0,1,2,Tidak menerima bansos
Damar Maryati,3200841027737780,Manado,Sulawesi Utara,12/21/1963,61,Tidak Bekerja, Rp-   ,7,1,3,1,0,1,3,Tidak menerima bansos
Ica Abibi,3200797231830960,Makassar,Sulawesi Selatan,11/29/1976,48,Wiraswasta," Rp1,000,000 ",4,1,0,2,0,0,1,Tidak menerima bansos
Sakura Yuniar,3200679327879710,Malang,Jawa Timur,5/23/1988,37,Buruh," Rp1,000,000 ",6,0,1,1,2,2,3,Tidak menerima bansos
Maida Gunarto,3200174543421020,Jambi,Jambi,6/6/1972,53,Wiraswasta," Rp500,000 ",4,0,1,1,1,1,2,Tidak menerima bansos
Jayadi Nurdiyanti,3200055348133000,Semarang,Jawa Tengah,1/18/1992,33,Buruh," Rp1,000,000 ",6,0,2,0,2,1,4,menerima bansos
Eli Utama,3200671405050990,Bogor,Kalimantan Timur,6/26/1973,52,Wiraswasta," Rp500,000 ",6,1,2,0,2,0,3,Tidak menerima bansos
Paris Sitompul,3200890619220210,Lampung,Lampung,2/8/1968,57,Petani," Rp1,000,000 ",6,0,0,1,2,2,3,Tidak menerima bansos
Ilsa Siombing,3200496040347410,Jayapura,Papua,9/2/1981,43,Karyawan," Rp4,300,000 ",3,0,1,1,0,0,1,Tidak menerima bansos
Legawa Permadi,3200507357672510,Lampung,Lampung,7/3/1967,58,Wiraswasta," Rp1,000,000 ",7,1,2,2,1,1,5,menerima bansos
Mnrima Suartini,3200783287652660,Manokwari,Papua Barat,6/8/1965,60,Wiraswasta," Rp1,500,000 ",3,0,0,0,1,2,2,Tidak menerima bansos
Cut Novi Saptono,3200878136674070,Bengkulu,Kalimantan Timur,12/3/1978,46,Tidak Bekerja, Rp-   ,5,1,0,0,2,1,3,Tidak menerima bansos
Lemba Siombing,3200945501457530,Makassar,Sulawesi Selatan,4/17/2000,25,Tidak Bekerja, Rp-   ,4,1,0,1,2,0,1,Tidak menerima bansos
Enda Aryanti,3200096601422620,Medan,Sumatera Utara,1/9/1964,61,Wiraswasta," Rp500,000 ",5,1,1,0,2,0,2,Tidak menerima bansos
Paulin Putra,3200627441800870,Sorong,Papua Barat,1/15/1982,43,Buruh," Rp2,500,000 ",5,1,1,1,2,0,2,Tidak menerima bansos
Amalia Laksmiwati,3200459841875040,Semarang,Jawa Tengah,10/9/1993,31,Petani," Rp500,000 ",9,1,2,2,1,2,5,menerima bansos
Purwadi Usada,3200358669348150,Padang,Sumatera Barat,3/17/2000,25,Wiraswasta," Rp500,000 ",6,1,1,1,1,2,3,Tidak menerima bansos
Unggul Utami,3200195472340120,Bengkulu,Kalimantan Timur,11/30/1991,33,Wiraswasta," Rp1,500,000 ",2,0,0,1,0,1,1,Tidak menerima bansos
Arsanto Januar,3200225050365850,Pontianak,Kalimantan Barat,11/12/1969,55,Petani," Rp1,000,000 ",7,0,0,2,2,2,4,menerima bansos
Marsito Mangunsong,3200852303592570,Manado,Sulawesi Utara,4/20/1984,41,Petani," Rp1,500,000 ",3,0,0,2,0,1,2,Tidak menerima bansos
Safina Putra,3200994090487450,Palembang,Sumatera Selatan,12/21/1990,34,Tidak Bekerja, Rp-   ,6,1,2,0,1,2,4,menerima bansos
Jasmin Pradipta,3200774038899450,Surabaya,Jawa Timur,1/4/1968,57,Wiraswasta," Rp1,000,000 ",7,1,2,1,2,1,4,menerima bansos
Martani Dongoran,3200770082161830,Jambi,Jambi,6/30/1996,29,Petani," Rp2,000,000 ",8,1,3,1,1,2,4,menerima bansos
Unjani Mandala,3200572902141520,Medan,Sumatera Utara,11/20/1973,51,Tidak Bekerja, Rp-   ,2,0,0,2,0,0,1,Tidak menerima bansos
Tgkjuli Wijaya,3200725412840920,Bekasi,Kalimantan Timur,11/15/1973,51,Wiraswasta," Rp1,000,000 ",5,1,1,2,0,1,3,Tidak menerima bansos
Pangestu Suryatmi,3200262667210620,Palangka Raya,Kalimantan Tengah,9/14/1977,47,Wiraswasta," Rp2,000,000 ",6,1,1,0,2,1,3,Tidak menerima bansos
Endra Wulandari.,3200571783750650,Yogyakarta,DI Yogyakarta,6/21/1959,66,Karyawan," Rp800,000 ",7,0,2,2,2,1,5,menerima bansos
Sabrina Saragi,3200356495723310,Samarinda,Kalimantan Timur,11/26/1970,54,Buruh," Rp900,000 ",8,1,3,0,2,1,4,menerima bansos
Banawa Astuti,3200873896691570,Sorong,Papua Barat,3/21/1984,41,Wiraswasta," Rp1,000,000 ",5,0,2,1,0,1,3,Tidak menerima bansos
Safina Astuti,3200837055138220,Balikpapan,Kalimantan Timur,2/20/1977,48,Petani," Rp1,500,000 ",5,0,1,1,1,1,3,Tidak menerima bansos
Ajiman Nugroo,3200498370616320,Pontianak,Kalimantan Barat,3/27/1981,44,Petani," Rp500,000 ",7,0,1,2,2,1,4,menerima bansos
Jarwa Pratiwi,3200658699375730,Kendari,Sulawesi Tenggara,3/4/1960,65,Petani," Rp500,000 ",10,1,3,2,2,1,5,menerima bansos
Kanda Adriansya,3200174081566990,Jayapura,Papua,3/2/1993,32,Karyawan," Rp2,000,000 ",3,0,0,0,2,0,1,Tidak menerima bansos
Gambira Farida,3200523702813500,Medan,Sumatera Utara,5/2/1982,43,Tidak Bekerja, Rp-   ,8,0,3,2,0,2,4,menerima bansos
Arsanto Laksita,3200528521489840,Padang,Sumatera Barat,5/15/1998,27,Wiraswasta," Rp500,000 ",3,0,1,1,0,1,1,Tidak menerima bansos
Gambira Palastri,3200466008106100,Merauke,Papua Selatan,5/27/1959,66,Karyawan," Rp500,000 ",6,0,1,2,2,0,3,Tidak menerima bansos
Mariadi Wacana,3200272241360880,Palu,Sulawesi Tengah,8/14/1979,45,Karyawan," Rp1,000,000 ",4,1,1,0,1,1,2,Tidak menerima bansos
Latif Wacana,3200077380111950,Merauke,Papua Selatan,8/9/1972,52,Wiraswasta," Rp2,000,000 ",4,0,0,1,2,1,2,Tidak menerima bansos
Jagapati Wibowo,3200060399736690,Pontianak,Kalimantan Barat,7/8/1984,40,Wiraswasta," Rp500,000 ",5,0,2,2,0,1,4,menerima bansos
Rella Nainggolan,3200708703542510,Manokwari,Papua Barat,10/14/1996,28,Tidak Bekerja, Rp-   ,4,0,3,0,0,1,2,Tidak menerima bansos
Dian Mardiya,3200153523845300,Manokwari,Papua Barat,9/9/1971,53,Tidak Bekerja, Rp-   ,5,1,0,2,1,1,4,menerima bansos
Darmana Ariya,3200421248031820,Manado,Sulawesi Utara,12/21/1956,68,Petani," Rp500,000 ",4,0,2,0,0,2,2,Tidak menerima bansos
Latif Siotang,3200798483608270,Bandung,Jawa Barat,11/15/1989,35,Buruh," Rp700,000 ",1,1,0,0,0,0,0,Tidak menerima bansos
Irwan Maendra,3200089662024040,Palembang,Sumatera Selatan,1/21/1986,39,Buruh," Rp500,000 ",5,0,2,1,1,1,4,menerima bansos
Cintia Prayoga,3200279108562490,Bengkulu,Kalimantan Timur,8/27/1970,54,Karyawan," Rp1,000,000 ",5,1,2,1,1,0,3,Tidak menerima bansos
Pandu Purnawati,3200105835271790,Padang,Sumatera Barat,1/12/1958,67,Tidak Bekerja, Rp-   ,7,0,3,0,2,2,4,menerima bansos
Rati Zulkarnain,3200074922325540,Pekanbaru,Riau,3/26/1991,34,Petani," Rp1,500,000 ",3,0,0,1,2,0,1,Tidak menerima bansos
Tgkbakiono Prasetya,3200544224361900,Lampung,Lampung,6/25/1989,36,Buruh," Rp1,500,000 ",9,0,3,2,1,2,5,menerima bansos
Puti Ika Ariya,3200103709915640,Bandung,Jawa Barat,3/21/1988,37,Wiraswasta," Rp500,000 ",9,1,2,2,2,1,5,menerima bansos
Ari Idayanto,3200101339940980,Palembang,Sumatera Selatan,12/10/1973,51,Petani," Rp1,500,000 ",6,0,3,0,1,1,4,menerima bansos
Cut Jessica Raayu,3200209094551780,Palembang,Sumatera Selatan,5/19/1976,49,Wiraswasta," Rp1,000,000 ",5,1,3,1,0,0,2,Tidak menerima bansos
Irnanto Andayani,3200336701423120,Pontianak,Kalimantan Barat,4/13/1966,59,Petani," Rp1,500,000 ",6,1,2,2,0,1,4,menerima bansos
Nalar Nuraini,3200817995337750,Banjarmasin,Kalimantan Selatan,8/3/1999,25,Wiraswasta," Rp2,000,000 ",3,0,1,1,1,0,1,Tidak menerima bansos
Jasmin Budiyanto,3200435210582180,Sorong,Papua Barat,4/15/1982,43,Tidak Bekerja, Rp-   ,2,0,1,0,0,1,1,Tidak menerima bansos
Fitria Abibi,3200720652356880,Bengkulu,Kalimantan Timur,6/25/1993,32,Tidak Bekerja, Rp-   ,8,1,3,2,1,0,4,menerima bansos
Cindy Putra,3200784553667130,Manokwari,Papua Barat,1/15/2000,25,Buruh," Rp4,000,000 ",5,1,1,1,1,1,4,menerima bansos
Vivi Assana,3200386806393370,Jayapura,Papua,1/15/1978,47,Tidak Bekerja, Rp-   ,1,0,0,0,0,0,0,Tidak menerima bansos
Amima Firmansya,3200639730549370,Banjarmasin,Kalimantan Selatan,10/27/1983,41,Tidak Bekerja, Rp-   ,7,1,2,0,2,2,4,menerima bansos
Ellis Yulianti,3200555357500330,Manado,Sulawesi Utara,6/18/1975,50,Petani," Rp1,000,000 ",5,1,2,1,0,1,3,Tidak menerima bansos
